#,Brand / Institution,Item,City,Type,Link,Google Maps,
11,Lazada,Lazada Online Shopping,Jakarta,Fashion,https://www.instagram.com/reel/CpVBlpEupsM/?igsh=OTlhNmdud3gxbTFw,https://maps.app.goo.gl/jwh67hLE3RVEdKVH9?g_st=ic,
12,Dreamina AI,Dreamina Nano Banana Pro,California,Tech,https://www.instagram.com/reel/DRg7aGLCbwo/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,
13,Accor Live Limitless ,#SeasonofAll Campaign,Bandung,Travel,https://www.instagram.com/reel/CpDhan8NrqF/?igsh=OWt2bTRtZGFtdGph,https://maps.app.goo.gl/ZGxAiASZKR8H2PU37?g_st=ic,
14,Bangkok Explores,Wat Arun,Bangkok,Travel,https://www.instagram.com/reel/C7mbXNFhX2S/?igsh=MW9meHRydmppMXN2cA==,https://maps.app.goo.gl/Vxsnq12wC3ayezKc7?g_st=ic,
15,Discover Harbin,Songhua River,Harbin,Travel,https://www.instagram.com/p/C2T3G6Erdb9/?igsh=MW1nb3VhcDg2dzJocA==,https://maps.app.goo.gl/1eQixa39ntHjhpqW8?g_st=ic,
16,Discover Harbin,Ice and Snow World,Harbin,Travel,https://www.instagram.com/p/C2PLwN7vqs1/?igsh=MXgxejg0eDJ2c3UzbA==,https://maps.app.goo.gl/bBXFUFkc6agckNWX8?g_st=ic,
17,Discover Harbin,Saint Sophia Cathedral,Harbin,Travel,https://www.instagram.com/p/C2ZG80SPG-W/?igsh=aTVhZG9reXE3eTAz,https://maps.app.goo.gl/bBXFUFkc6agckNWX8?g_st=ic,
18,Garuda Indonesia,Jakarta - Tokyo Business Cabin,Tokyo,Travel,https://www.instagram.com/p/Cyu_m69L6nL/?igsh=cmhmYXJoZWJkYzJt,https://maps.app.goo.gl/bBXFUFkc6agckNWX8?g_st=ic,
19,Garuda Indonesia,Jakarta - Tokyo Business Cabin,Tokyo,Travel,https://www.instagram.com/reel/Cor6IQgB0cn/?igsh=MXU3bWh5M3RqZmw1OA%3D%3D,https://maps.app.goo.gl/bBXFUFkc6agckNWX8?g_st=ic,
20,Garuda Indonesia,Jakarta - Tokyo Business Cabin,Tokyo,Travel,https://www.instagram.com/reel/CnhYN2DOXlg/?igsh=Z3gxZ2E1YWxnamtx,https://maps.app.goo.gl/bBXFUFkc6agckNWX8?g_st=ic,
21,Garuda Indonesia,Jakarta - Denpasar Business Cabin,Bali,Travel,https://www.instagram.com/p/CxWsI08hsP4/?igsh=c2Y1ZjZrNGU5d3Bq,https://maps.app.goo.gl/i6ZfkMacrmq2eHn37?g_st=ic,
22,Garuda Indonesia,Jakarta - Bangkok Business Cabin,Bangkok,Travel,https://www.instagram.com/p/CxCv3XlrMD3/?igsh=eHk0enQ0dGp4b2Ez,https://maps.app.goo.gl/8KLcSHdLig8zqPJ19?g_st=ic,
23,Japan Explores,Universal Studios Osaka,Osaka,Travel,https://www.instagram.com/p/C01Tq3tLLQp/?igsh=MWszMXJ5eXd1Y3VpNw==,https://maps.app.goo.gl/BnMo1YRQsWg1acN98?g_st=ic,
24,Japan Explores,Shinkansen Ride Green Class,Tokyo,Travel,https://www.instagram.com/p/Cy7W6nmrm2b/?igsh=Z205bTQ1ZWdncnFz,https://maps.app.goo.gl/wn2gJ2ZhaSBjdYDG6?g_st=ic,
25,Japan Explores,Heian Shrine,Kyoto,Travel,https://www.instagram.com/p/CoDHU_DBGki/?igsh=MWZhYjBiN2VwOXJhZQ==,https://maps.app.goo.gl/Kf9Svw6QC9a7mqdb6?g_st=ic,
26,Japan Explores,Kiyomizu Dera,Kyoto,Travel,https://www.instagram.com/p/CoDIwF-BOQ6/?igsh=MWRraWF4c2xjeDRlZw==,https://maps.app.goo.gl/LV4yUCKz4kyg2GDV6?g_st=ic,
27,Japan Explores,Nijo Castle,Kyoto,Travel,https://www.instagram.com/p/Cn90mhShsr8/?igsh=MTRycG11cXg0aDcweA==,https://maps.app.goo.gl/vt4MjPygoxFJCmsG6?g_st=ic,
28,Javamifi,Global Wifi Cambodia Trip,Phnom Penh,Travel,https://www.instagram.com/reel/DDElZ6LJpCZ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,,
29,Javamifi,Global Wifi Chengdu Trip,Chengdu,Travel,https://www.instagram.com/reel/DFp1t0Vp4fj/?igsh=MXhkbjh0NTM5bGplYQ==,https://maps.app.goo.gl/2oprfLW7D2eUHiDYA?g_st=ic,
30,Javamifi,Global Wifi China Trip,China,Travel,https://www.instagram.com/reel/DGvhALLSysM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/2MQyAQX6vXD2h4Fb9?g_st=ic,
31,Javamifi,Global Wifi Japan Trip,Japan,Travel,https://www.instagram.com/reel/DIGrrggJiIx/?utm_source=ig_web_copy_link,https://maps.app.goo.gl/R23rHd4aitgLKybR6?g_st=ic,
32,Javamifi,Global Wifi Singapore,Singapore,Travel,https://www.instagram.com/reel/DER9rVIJdRN/?igsh=MWo2bzJpcXR0Yjhodg==,https://maps.app.goo.gl/oAe5YmpEtfp3bYcN7?g_st=ic, 
33,Javamifi,Global Wifi Singapore + Vietnam Trip,Vietnam,Travel,https://www.instagram.com/reel/C_OCYi8yiWp/?igsh=MW50anljbjNta2xheA==,https://maps.app.goo.gl/dkgz7aqhgadWLq1L7?g_st=ic,
34,Javamifi,Global Wifi Taiwan Trip,Taipei,Travel,https://www.instagram.com/reel/DCIXrfshZ7t/?igsh=aDdjMmhsbXY5eXJt,https://maps.app.goo.gl/8WMQ22xzvJ9Bj7JQ9?g_st=ic,
35,Javamifi,Global Wifi US West Coast Trip,Los Angeles,Travel,https://www.instagram.com/reel/DNCkuZ6JxiG/?igsh=MXJpbWV4NWIybGR4aQ==,-,
