,Brand,Property,City,Brand Category,IG Post / Carousel,IG Highlight,IG Reels,Google Maps,New System,,
21,Park Hyatt,Park Hyatt Bangkok 🗝️🗝️,Bangkok,A Ultra Luxury,"https://www.instagram.com/p/DLqqSyjSGQx/?igsh=M2JjaTIxMDdvNjdy
https://www.instagram.com/p/DLqsFOYyjbR/?igsh=MXVucHMyY25odTM3Yw== ",https://www.instagram.com/stories/highlights/18039798794643858/,"https://www.instagram.com/reel/DLr4M95peFi/?igsh=MW45cWR5cXUxNTV1ag==
https://www.instagram.com/reel/DLr2a1EJIP6/?igsh=MTAxcDk5cXNhZG9saQ== 
https://www.instagram.com/reel/DLqrRzDy-Zj/?igsh=MTFpdTN3MDFnMXNydQ== 
https://www.instagram.com/reel/DLqqXHny3gb/?igsh=MXZkMDZ4bjNoOXJyMw== ",https://maps.app.goo.gl/9uErCeTsE6JWkv128,,,
22,Park Hyatt,Park Hyatt Kuala Lumpur,Kuala Lumpur,A Ultra Luxury,SOON,SOON,SOON,SOON,Y,,
23,Park Hyatt,Park Hyatt New York,New York,A Ultra Luxury,SOON,SOON,SOON,SOON,Y,,
24,Park Hyatt,Park Hyatt Suzhou,Suzhou,A Ultra Luxury,SOON,SOON,SOON,SOON,Y,,
25,Raffles,Raffles at Galaxy Macau,Macau,A Ultra Luxury,https://www.instagram.com/p/DKB-0QuJiBV/?igsh=bzJvdWx0cnk0cDVm,https://www.instagram.com/stories/highlights/18079301773794297/,"https://www.instagram.com/reel/DKCAiBQJc0g/?igsh=MWozcXQ1aWlzb2Vxbw==
https://www.instagram.com/reel/DKCAFNkpcb7/?igsh=OTlhcHlua3FreW16 
https://www.instagram.com/reel/DKB_QFOpsd5/?igsh=NXd6ODMzYzU3cDQx ",https://maps.app.goo.gl/N2x7c8dFLe2nccj89,,,
26,Raffles,Raffles Bali 🗝️🗝️,Bali,A Ultra Luxury,"https://www.instagram.com/p/Cxhs0MqLL4k/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/p/CmqopzKLzZD/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/p/Ch1mXNcLrQP/?igshid=MzRlODBiNWFlZA==",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTg3Mzk0NzU4NTgyNDQy?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/CzwV6G4hheF/ 
https://www.instagram.com/reel/CzlvvoarZk8/ 
https://www.instagram.com/reel/ComtR30rIO5/?igshid=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/C-bkyS5S1wp/?igsh=cnQ0cWNoamhzaW10 ",https://maps.app.goo.gl/3rDqBCHKbunPPy7S8?g_st=ic,,,
27,Raffles,Raffles Jakarta 🗝️,Jakarta,A Ultra Luxury,"https://www.instagram.com/p/C0tUL4SL61b/?igshid=ZWI2YzEzYmMxYg==
https://www.instagram.com/p/C3sDNsyLAOc/?igsh=MXR4em1kazgxdHUzaQ== 
https://www.instagram.com/p/C3unqa0LK1i/?igsh=MXFiNDd1aTc2Z2huNw==  
https://www.instagram.com/p/C0whsp3Bavx/?igsh=dzI3a2I4cnF4cjJq ",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTU4NDA2NzMzNjkxNzkz?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/Cg9b1PODQ-p/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/reel/CgwZNeyJt5w/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/reel/CblokQaBHp4/?igshid=ZWI2YzEzYmMxYg==",https://maps.app.goo.gl/vEnhtXZtTnixVrKm8,,,
28,Raffles,Raffles Makati 🗝️,Manila,A Ultra Luxury,"https://www.instagram.com/p/C084imLLFcP/?igshid=ZWI2YzEzYmMxYg== 
https://www.instagram.com/p/C051miNrXHt/?igsh=MTNjcGl3OHFoamNpbQ== ",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTk1NzU1NDYxMzY4OTE4?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/Cf-MsJHhsFp/?igshid=ZWI2YzEzYmMxYg==
https://www.instagram.com/reel/C8KjIbxSPJD/ ",https://maps.app.goo.gl/EBypFHJxQPSrp9g59,,,
29,Raffles,Raffles Shenzhen 🗝️,Shenzhen,A Ultra Luxury,"https://www.instagram.com/p/DJgNJMWpZEc/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/p/DJZ31lNzt_I/?utm_source=ig_web_copy_link ",https://www.instagram.com/stories/highlights/18055384765993598/,"https://www.instagram.com/reel/DJhjDJPzGvC/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DJef1ljpIj5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 
https://www.instagram.com/reel/DJdaA71J8ca/?utm_source=ig_web_copy_link 
https://www.instagram.com/reel/DJcBRCuJv5h/?utm_source=ig_web_copy_link ",https://maps.app.goo.gl/EWY94GVXnEhopuyA9,,,
30,Raffles,Raffles Singapore 🗝️🗝️🗝️,Singapore,A Ultra Luxury,"https://www.instagram.com/p/C0QHsZwBY0l/?igshid=ZWI2YzEzYmMxYg== 
https://www.instagram.com/p/C0GJMDgLzc6/?igshid=ZWI2YzEzYmMxYg== 
https://www.instagram.com/p/Ch1oO-orzjR/?igshid=MzRlODBiNWFlZA==  ",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTk3MTgxODk4MTQzNDk3?igshid=ZWI2YzEzYmMxYg==,https://www.instagram.com/reel/C8pVvUuSHGT/?igsh=MW13b2k3OW9sc2o5bw== ,https://maps.app.goo.gl/SnTi9UxsneqqULdt8,,,
31,Ritz-Carlton,"The Portman Ritz-Carlton, Shanghai",Shanghai,A Ultra Luxury,https://www.instagram.com/p/DQjiNYRCWrt/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://www.instagram.com/stories/highlights/18092050036860072/,https://www.instagram.com/reel/DQoOoo-iVvn/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://maps.app.goo.gl/puxvmSTnKMoKC6ak9,Y,,
32,Ritz-Carlton,"The Ritz-Carlton Jakarta, Mega Kuningan",Jakarta,A Ultra Luxury,"https://www.instagram.com/p/CzullQBh4N0/?igshid=ZWI2YzEzYmMxYg==
https://www.instagram.com/p/CznrH6krXQ1/?igshid=ZWI2YzEzYmMxYg==
https://www.instagram.com/p/Cw4FS3Lrm2o/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/p/CnkQ1NvS8Ls/?igshid=MzRlODBiNWFlZA==",https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTg5MDk1MjI0MzA2Nzg4?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/C9BtEBcSNZj/
https://www.instagram.com/reel/C-ZKBZaScN7/?igsh=NzV5MDM0aWtsejF3
https://www.instagram.com/reel/C_VHBM5y_xx/?igsh=MWh1eGpxZzBoc2Jodw==  ",https://maps.app.goo.gl/VpAw5Sfwh9U2G4LE7,,,
33,Ritz-Carlton,"The Ritz-Carlton Jakarta, Pacific Place",Jakarta,A Ultra Luxury,https://www.instagram.com/p/Cjxd2hLr17i/?igshid=MzRlODBiNWFlZA==,https://www.instagram.com/s/aGlnaGxpZ2h0OjE3OTk5NjkyODIzMzM3NDc5?igshid=ZWI2YzEzYmMxYg==,"https://www.instagram.com/reel/CjVVuPyM3fk/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/reel/Cg4C1WLPN_u/?igshid=MzRlODBiNWFlZA==
https://www.instagram.com/reel/DCsfFEXy3tl/?igsh=MTJtd3h5aDNhaDhp ",https://maps.app.goo.gl/9x1q9ts6s5mM1Xz7A?g_st=ic,,,
